Competition,Country,OW_Event,OW_Date,Athlete,NAT,Birth,OW_Rank,OW_Time,PoolEvent,WA_SB_Time,WA_SB_Date,WA_SB_Meet,WA_SB_Country,WA_PB_Time,WA_PB_Date,WA_PB_Meet,WA_PB_Country
World Aquatics Championships - Singapore 2025,SGP,Women 10km,2025-08-03,"GUBECKA, Chelsea",AUS,,9,2:09:28.80,400 Free,,,,,4:14.19,2023-04-19,Australian National Championships (50m),AUS
World Aquatics Championships - Singapore 2025,SGP,Women 10km,2025-08-03,"GUBECKA, Chelsea",AUS,,9,2:09:28.80,800 Free,,,,,8:38.54,2014-04-01,Australian National Championships (50m),AUS
World Aquatics Championships - Singapore 2025,SGP,Women 10km,2025-08-03,"GUBECKA, Chelsea",AUS,,9,2:09:28.80,1500 Free,,,,,16:23.41,2014-04-01,Australian National Championships (50m),AUS
World Aquatics Championships - Singapore 2025,SGP,Women 10km,2025-08-03,"POZZOBON, Barbara",ITA,,10,2:09:30.30,400 Free,,,,,,,,
World Aquatics Championships - Singapore 2025,SGP,Women 10km,2025-08-03,"POZZOBON, Barbara",ITA,,10,2:09:30.30,800 Free,,,,,8:53.84,2016-04-19,Italian National Championships (50m),ITA
World Aquatics Championships - Singapore 2025,SGP,Women 10km,2025-08-03,"POZZOBON, Barbara",ITA,,10,2:09:30.30,1500 Free,,,,,16:32.04,2022-04-11,Italian National Championships (50m),ITA
World Aquatics Championships - Singapore 2025,SGP,Men 10km,2025-08-03,"FILADELLI, Andrea",ITA,,7,2:00:43.70,400 Free,,,,,3:56.16,2022-04-09,Italian National Championships (50m),ITA
World Aquatics Championships - Singapore 2025,SGP,Men 10km,2025-08-03,"FILADELLI, Andrea",ITA,,7,2:00:43.70,800 Free,,,,,8:09.02,2022-04-11,Italian National Championships (50m),ITA
World Aquatics Championships - Singapore 2025,SGP,Men 10km,2025-08-03,"FILADELLI, Andrea",ITA,,7,2:00:43.70,1500 Free,,,,,15:40.84,2022-04-13,Italian National Championships (50m),ITA
World Aquatics Championships - Singapore 2025,SGP,Men 10km,2025-08-03,"WELLBROCK, Florian",GER,,1,1:59:55.50,400 Free,,,,,3:47.14,2019-08-04,German National Championships (50m),GER
World Aquatics Championships - Singapore 2025,SGP,Men 10km,2025-08-03,"WELLBROCK, Florian",GER,,1,1:59:55.50,800 Free,,,,,7:47.69,2019-08-02,German National Championships (50m),GER
World Aquatics Championships - Singapore 2025,SGP,Men 10km,2025-08-03,"WELLBROCK, Florian",GER,,1,1:59:55.50,1500 Free,,,,,14:46.61,2020-02-07,German National Championships (50m),GER
World Aquatics Championships - Singapore 2025,SGP,Men 10km,2025-08-03,"SLOMAN, Nicholas",AUS,,8,2:01:01.90,400 Free,,,,,3:54.25,2022-05-18,Australian National Championships (50m),AUS
World Aquatics Championships - Singapore 2025,SGP,Men 10km,2025-08-03,"SLOMAN, Nicholas",AUS,,8,2:01:01.90,800 Free,,,,,,,,
World Aquatics Championships - Singapore 2025,SGP,Men 10km,2025-08-03,"SLOMAN, Nicholas",AUS,,8,2:01:01.90,1500 Free,,,,,15:18.20,2023-04-18,Australian National Championships (50m),AUS
World Aquatics Championships - Singapore 2025,SGP,Men 10km,2025-08-03,"ADEEV, Denis",NAB,,6,2:00:35.80,400 Free,,,,,3:50.63,2022-04-24,Russian National Championships (50m),RUS
World Aquatics Championships - Singapore 2025,SGP,Men 10km,2025-08-03,"ADEEV, Denis",NAB,,6,2:00:35.80,800 Free,,,,,7:57.76,2023-04-18,Russian National Championships (50m),RUS
World Aquatics Championships - Singapore 2025,SGP,Men 10km,2025-08-03,"ADEEV, Denis",NAB,,6,2:00:35.80,1500 Free,,,,,15:59.55,2018-04-21,Russian National Championships (50m),RUS
World Aquatics Championships - Singapore 2025,SGP,Men 10km,2025-08-03,"PALTRINIERI, Gregorio",ITA,,2,1:59:59.20,400 Free,,,,,3:48.41,2014-04-08,Italian National Spring Championships (50m),ITA
World Aquatics Championships - Singapore 2025,SGP,Men 10km,2025-08-03,"PALTRINIERI, Gregorio",ITA,,2,1:59:59.20,800 Free,,,,,7:41.96,2021-04-01,Italian National Championships (50m),ITA
World Aquatics Championships - Singapore 2025,SGP,Men 10km,2025-08-03,"PALTRINIERI, Gregorio",ITA,,2,1:59:59.20,1500 Free,,,,,14:37.08,2017-04-07,Italian National Championship (50m),ITA
World Aquatics Championships - Singapore 2025,SGP,Men 10km,2025-08-03,"KLEMET, Oliver",GER,,4,2:00:10.40,400 Free,,,,,4:03.12,2019-05-31,German Junior National Championships (50m) 2019,GER
World Aquatics Championships - Singapore 2025,SGP,Men 10km,2025-08-03,"KLEMET, Oliver",GER,,4,2:00:10.40,800 Free,,,,,,,,
World Aquatics Championships - Singapore 2025,SGP,Men 10km,2025-08-03,"KLEMET, Oliver",GER,,4,2:00:10.40,1500 Free,,,,,15:58.83,2019-05-30,German Junior National Championships (50m) 2019,GER
World Aquatics Championships - Singapore 2025,SGP,Men 10km,2025-08-03,"KARL, Luca",AUT,,5,2:00:30.40,400 Free,,,,,3:57.97,2024-12-20,2024 Gyor Open (50m),HUN
World Aquatics Championships - Singapore 2025,SGP,Men 10km,2025-08-03,"KARL, Luca",AUT,,5,2:00:30.40,800 Free,,,,,8:21.57,2021-08-01,Austrian National and Junior Championships (50m),AUT
World Aquatics Championships - Singapore 2025,SGP,Men 10km,2025-08-03,"KARL, Luca",AUT,,5,2:00:30.40,1500 Free,,,,,15:28.31,2024-12-18,2024 Gyor Open (50m),HUN
World Aquatics Championships - Singapore 2025,SGP,Men 10km,2025-08-03,"LEE, Kyle",AUS,,3,2:00:10.30,400 Free,,,,,,,,
World Aquatics Championships - Singapore 2025,SGP,Men 10km,2025-08-03,"LEE, Kyle",AUS,,3,2:00:10.30,800 Free,,,,,,,,
World Aquatics Championships - Singapore 2025,SGP,Men 10km,2025-08-03,"LEE, Kyle",AUS,,3,2:00:10.30,1500 Free,,,,,,,,
World Aquatics Championships - Singapore 2025,SGP,Men 10km,2025-08-03,"BETLEHEM, David",HUN,,9,2:01:13.80,400 Free,3:47.86,2025-04-10,2025 Hungarian National Championships (50m),HUN,3:47.86,2025-04-10,2025 Hungarian National Championships (50m),HUN
World Aquatics Championships - Singapore 2025,SGP,Men 10km,2025-08-03,"BETLEHEM, David",HUN,,9,2:01:13.80,800 Free,7:48.02,2025-04-12,2025 Hungarian National Championships (50m),HUN,7:48.02,2025-04-12,2025 Hungarian National Championships (50m),HUN
World Aquatics Championships - Singapore 2025,SGP,Men 10km,2025-08-03,"BETLEHEM, David",HUN,,9,2:01:13.80,1500 Free,14:48.73,2025-04-09,2025 Hungarian National Championships (50m),HUN,14:48.73,2025-04-09,2025 Hungarian National Championships (50m),HUN
World Aquatics Championships - Singapore 2025,SGP,Men 10km,2025-08-03,"SCHREIBER, Christian",SUI,,10,2:01:39.50,400 Free,,,,,4:00.22,2022-03-24,Swiss National Championships (50m),SUI
World Aquatics Championships - Singapore 2025,SGP,Men 10km,2025-08-03,"SCHREIBER, Christian",SUI,,10,2:01:39.50,800 Free,,,,,8:15.14,2022-03-27,Swiss National Championships (50m),SUI
World Aquatics Championships - Singapore 2025,SGP,Men 10km,2025-08-03,"SCHREIBER, Christian",SUI,,10,2:01:39.50,1500 Free,,,,,15:42.07,2022-03-23,Swiss National Championships (50m),SUI
10th FINA World Championships 2003,ESP,Women 10km,2003-07-27,"HUTCHINSON, Trudee",AUS,,6,2:00:03.70,400 Free,,,,,,,,
10th FINA World Championships 2003,ESP,Women 10km,2003-07-27,"HUTCHINSON, Trudee",AUS,,6,2:00:03.70,800 Free,,,,,,,,
10th FINA World Championships 2003,ESP,Women 10km,2003-07-27,"HUTCHINSON, Trudee",AUS,,6,2:00:03.70,1500 Free,,,,,,,,
10th FINA World Championships 2003,ESP,Women 10km,2003-07-27,"KAMRAU-CORESTEIN, Britta",GER,,5,1:59:58.40,400 Free,,,,,,,,
10th FINA World Championships 2003,ESP,Women 10km,2003-07-27,"KAMRAU-CORESTEIN, Britta",GER,,5,1:59:58.40,800 Free,,,,,,,,
10th FINA World Championships 2003,ESP,Women 10km,2003-07-27,"KAMRAU-CORESTEIN, Britta",GER,,5,1:59:58.40,1500 Free,,,,,,,,
10th FINA World Championships 2003,ESP,Women 10km,2003-07-27,"VAN DIJK, Edith",NED,,3,1:59:53.00,400 Free,,,,,,,,
10th FINA World Championships 2003,ESP,Women 10km,2003-07-27,"VAN DIJK, Edith",NED,,3,1:59:53.00,800 Free,,,,,,,,
10th FINA World Championships 2003,ESP,Women 10km,2003-07-27,"VAN DIJK, Edith",NED,,3,1:59:53.00,1500 Free,,,,,,,,
10th FINA World Championships 2003,ESP,Women 10km,2003-07-27,"MAURER, Angela",GER,,2,1:59:51.10,400 Free,,,,,,,,
10th FINA World Championships 2003,ESP,Women 10km,2003-07-27,"MAURER, Angela",GER,,2,1:59:51.10,800 Free,,,,,,,,
10th FINA World Championships 2003,ESP,Women 10km,2003-07-27,"MAURER, Angela",GER,,2,1:59:51.10,1500 Free,,,,,,,,
10th FINA World Championships 2003,ESP,Women 10km,2003-07-27,"SELIVERSTOVA, Ekaterina",RUS,,4,1:59:55.90,400 Free,,,,,,,,
10th FINA World Championships 2003,ESP,Women 10km,2003-07-27,"SELIVERSTOVA, Ekaterina",RUS,,4,1:59:55.90,800 Free,,,,,,,,
10th FINA World Championships 2003,ESP,Women 10km,2003-07-27,"SELIVERSTOVA, Ekaterina",RUS,,4,1:59:55.90,1500 Free,,,,,,,,
10th FINA World Championships 2003,ESP,Women 10km,2003-07-27,"VALLI, Viola",ITA,,1,1:59:49.90,400 Free,,,,,,,,
10th FINA World Championships 2003,ESP,Women 10km,2003-07-27,"VALLI, Viola",ITA,,1,1:59:49.90,800 Free,,,,,,,,
10th FINA World Championships 2003,ESP,Women 10km,2003-07-27,"VALLI, Viola",ITA,,1,1:59:49.90,1500 Free,,,,,,,,
10th FINA World Championships 2003,ESP,Women 10km,2003-07-27,"WOOD, Paula",GBR,,8,2:01:51.60,400 Free,,,,,,,,
10th FINA World Championships 2003,ESP,Women 10km,2003-07-27,"WOOD, Paula",GBR,,8,2:01:51.60,800 Free,,,,,,,,
10th FINA World Championships 2003,ESP,Women 10km,2003-07-27,"WOOD, Paula",GBR,,8,2:01:51.60,1500 Free,,,,,,,,
10th FINA World Championships 2003,ESP,Women 10km,2003-07-27,"VAN DER WEIJDEN, Etta",NED,,7,2:01:23.70,400 Free,,,,,,,,
10th FINA World Championships 2003,ESP,Women 10km,2003-07-27,"VAN DER WEIJDEN, Etta",NED,,7,2:01:23.70,800 Free,,,,,,,,
10th FINA World Championships 2003,ESP,Women 10km,2003-07-27,"VAN DER WEIJDEN, Etta",NED,,7,2:01:23.70,1500 Free,,,,,,,,
